meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
European U23 Swimming Championships,22.07,12/8/2023,Men 50 Freestyle LCM Male,GBR,Great Britain,"COHOON, Alexander",M,17/09/2002,,,157,157,850,Dublin,IRL
Russian National Championships (50m),22.07,9/4/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"KUZMENKO, Ivan",M,7/4/1995,,,157,158,850,Kazan,RUS
Hancock Prospecting Australian National Championships (50m),22.07,12/4/2019,Men 50 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,157,159,850,Adelaide,AUS
Olympic Games Athens 2004,22.07,19/08/2004,Men 50 Freestyle LCM Male,AUS,Australia,"HAWKE, Brett",M,2/6/1975,,,157,160,,Athens,GRE
Russian National Swimming Cup Final,22.08,28/07/2023,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SAMUSENKO, Pavel",M,9/8/2001,,,161,161,849,kazan,RUS
US Olympic Team Trials - Wave II,22.08,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DAVIS, Will",M,11/2/2000,,,161,162,849,Omaha,USA
US Olympic Team Trials - Wave II,22.08,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"SORENSON, Payton",M,24/11/1993,,,161,163,849,Omaha,USA
Hancock Prospecting Australian Swimming Trials 2021,22.08,17/06/2021,Men 50 Freestyle LCM Male,AUS,Australia,"BELL, Grayson",M,21/03/1997,,,161,164,849,Adelaide,AUS
Aquanaswim 2012,22.08,28/01/2012,Men 50 Freestyle LCM Male,GRE,Greece,"KALARGARIS, Ioannis",M,6/6/1990,,,161,165,849,Banja Luka,BIH
US National Championships TT - (50m),22.08,2/8/2011,Men 50 Freestyle LCM Male,USA,United States of America,"BRUNELLI, Nicholas",M,18/12/1981,,,161,166,849,Palo Alto,USA
European U23 Swimming Championships,22.09,12/8/2023,Men 50 Freestyle LCM Male,LUX,Luxembourg,"FABIANI, Remi",M,13/11/2001,,,167,167,848,Dublin,IRL
European Championships 2022,22.09,16/08/2022,Men 50 Freestyle LCM Male,SRB,Serbia,"BARNA, Andrej",M,6/3/1998,,,167,168,848,Rome,ITA
US National Championships (50m),22.09,29/07/2018,Men 50 Freestyle LCM Male,USA,United States of America,"JACKSON, Tate",M,4/2/1997,,,167,169,848,Irvine,USA
US Olympic Team Trials - Swimming,22.09,1/7/2016,Men 50 Freestyle LCM Male,USA,United States of America,"COPELAND, William",M,21/04/1986,,,167,170,848,Omaha,USA
US Olympic Team Trials,22.09,25/06/2012,Men 50 Freestyle LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,167,171,848,Omaha,USA
Olympic Games Barcelona 1992,22.09,30/07/1992,Men 50 Freestyle LCM Male,USA,United States of America,"BIONDI, Matt",M,8/10/1965,,,167,172,,Barcelona,ESP
Japan National Championships 2023 (50m),22.1,8/4/2023,Men 50 Freestyle LCM Male,JPN,Japan,"KAWANE, Masahiro",M,18/07/1999,,,173,173,847,Tokyo,JPN
British National Swimming Championships (50m),22.1,17/04/2021,Men 50 Freestyle LCM Male,GBR,Great Britain,"LEGARD, Yusuke",M,24/10/1996,,,173,174,847,London,GBR
TYR Pro Championships 2023,22.11,27/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"TOREPE-ORMSBY, Taiko",M,16/08/2003,,,175,175,845,Irvine,USA
Apollo Projects New Zealand National Championships 2023 (50m),22.11,5/4/2023,Men 50 Freestyle LCM Male,NZL,New Zealand,"PICKETT, Michael",M,17/08/2002,,,175,176,845,Auckland,NZL
4th FINA World Junior Swimming Championships 2013,22.11,28/08/2013,Men 50 Freestyle LCM Male,AUS,Australia,"PERCY, Luke",M,25/01/1995,,,175,177,845,Dubai,UAE
US Olympic Team Trials,22.11,25/06/2012,Men 50 Freestyle LCM Male,USA,United States of America,"SCHNUR, Jason Alexander",M,19/12/1990,,,175,178,845,Omaha,USA
Olympic Games Athens 2004,22.11,20/08/2004,Men 50 Freestyle LCM Male,USA,United States of America,"LEZAK, Jason",M,12/11/1975,,,175,179,,Athens,GRE
Olympic Games Sydney 2000,22.11,22/09/2000,Men 50 Freestyle LCM Male,ITA,Italy,"VISMARA, Lorenzo",M,10/8/1975,,,175,180,,Sydney,AUS
World Aquatics Swimming World Cup 2023,22.12,6/10/2023,Men 50 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,181,181,844,Berlin,GER
TYR Pro Championships 2023,22.12,27/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"JACK, Jamie",M,19/09/2002,,,181,182,844,Irvine,USA
Phillips 66 National Championships (50m),22.12,1/7/2023,Men 50 Freestyle LCM Male,USA,United States of America,"KIBLER, Drew",M,9/3/2000,,,181,183,844,Indianapolis,USA
Phillips 66 National Championships (50m) 2022,22.12,30/07/2022,Men 50 Freestyle LCM Male,HUN,Hungary,"SZABADOS, Bence",M,29/09/2001,,,181,184,844,Irvine,USA
US Olympic Team Trials - Wave II,22.12,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"FARBER, Sid",M,23/08/1998,,,181,185,844,Omaha,USA
Russian National Championships (50m),22.12,9/4/2021,Men 50 Freestyle LCM Male,KAZ,Kazakhstan,"VARAKIN, Alexandr",M,17/02/1996,,,181,186,844,Kazan,RUS
Rotterdam Qualification Meet 2023,22.13,3/12/2023,Men 50 Freestyle LCM Male,ISR,Israel,"KARTAVI, Martin",M,9/3/2004,,,187,187,843,Rotterdam,NED
19th Pan American Games 2023,22.13,24/10/2023,Men 50 Freestyle LCM Male,BAH,Bahamas,"TAYLOR, Lamar",M,21/06/2003,,,187,188,843,Santiago,CHI
Russian National Championships (50m),22.13,12/4/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,187,189,843,Moscow,RUS
French National Championships (50m),22.13,25/05/2018,Men 50 Freestyle LCM Male,FRA,France,"GOVINDIN, Yonel",M,20/11/1993,,,187,190,843,Saint Raphael,FRA
17th FINA World Championships 2017,22.13,28/07/2017,Men 50 Freestyle LCM Male,UKR,Ukraine,"SHEVTSOV, Sergii",M,29/06/1998,,,187,191,843,Budapest,HUN
Russian National Swimming Cup,22.13,17/07/2016,Men 50 Freestyle LCM Male,RUS,Russian Federation,"BRIANSKII, Aleksei",M,14/09/1997,,,187,192,843,Ruza,RUS
Polish National Championships (50m),22.13,27/05/2016,Men 50 Freestyle LCM Male,POL,Poland,"WYPYCH, Filip",M,20/04/1991,,,187,193,843,Szczecin,POL
Russian National Championships (50m),22.13,13/05/2014,Men 50 Freestyle LCM Male,RUS,Russian Federation,"TIKHOBAEV, Oleg",M,26/07/1990,,,187,194,843,Moscow,RUS
Russian National Championships (50m),22.13,17/04/2012,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SYRNIKOV, Vitaly",M,10/4/1991,,,187,195,843,Moscow,RUS
Brazilian National Championships (50m),22.13,5/5/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"ROTH SANTOS, Guilherme",M,4/8/1982,,,187,196,,Rio de Janeiro,BRA
Belgian National Championships (50m),22.13,3/5/2009,Men 50 Freestyle LCM Male,BEL,Belgium,"GRANDJEAN, Yoris",M,20/03/1989,,,187,197,,Antwerp,BEL
Phillips 66 National Championships (50m) 2022,22.14,30/07/2022,Men 50 Freestyle LCM Male,USA,United States of America,"DOLAN, Jack",M,22/12/2000,,,198,198,842,Irvine,USA
Egypt National Championships (50m),22.14,10/4/2021,Men 50 Freestyle LCM Male,EGY,Egypt,"SAMEH, Abdelrahman",M,9/3/2000,,,198,199,842,Cairo,EGY
TYR Pro Swim Series San Antonio 2021,22.14,15/01/2021,Men 50 Freestyle LCM Male,IRL,Ireland,"CUSTER, Liam",M,10/4/2004,,,198,200,842,San Antonio,USA
